                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.97005,                 1.9652,                0.91788,                 1.2691,                  0.904,                0.74023,                 0.8238,                0.60418,                0.87031,                0.71264,                0.77545,                0.51819,                0.86855,                 2.3961,                0.90437,                 1.1555,              0.0011288,              0.0011288,              0.0011288
                     25,                0.97383,                 1.9518,                0.91412,                 1.2644,                0.85782,                0.76976,                0.82186,                0.60033,                0.86502,                0.72191,                 0.7868,                0.52126,                0.87311,                  2.277,                0.95367,                 1.1547,              0.0010892,              0.0010892,              0.0010892
                     26,                0.94895,                 1.9309,                0.90579,                  1.255,                0.88699,                0.75781,                0.81393,                0.58853,                 0.8542,                0.73218,                 0.7725,                0.49576,                0.90657,                 2.4266,                0.97038,                 1.1945,              0.0010496,              0.0010496,              0.0010496
                     27,                0.95002,                 1.9271,                0.89856,                 1.2561,                0.86986,                0.76059,                0.82722,                0.60542,                0.86084,                0.74658,                0.79759,                0.52286,                 0.8452,                 2.2876,                0.90197,                 1.1355,                0.00101,                0.00101,                0.00101
                     28,                0.92809,                 1.8888,                0.87526,                 1.2472,                0.89669,                0.76322,                 0.8274,                0.61336,                0.87828,                0.72987,                0.78528,                0.52352,                0.87644,                 2.3127,                0.90759,                 1.1662,              0.0009704,              0.0009704,              0.0009704
                     29,                0.94159,                 1.9203,                0.89006,                 1.2545,                0.88463,                0.77563,                0.82555,                0.61115,                0.84902,                0.74713,                  0.783,                0.52004,                0.87775,                 2.3081,                0.88977,                 1.1702,              0.0009308,              0.0009308,              0.0009308
                     30,                0.93022,                 1.9009,                0.88029,                 1.2474,                0.90416,                0.76986,                0.83692,                0.62073,                 0.8899,                0.73395,                0.79703,                0.52714,                0.87795,                  2.363,                0.84278,                 1.1806,              0.0008912,              0.0008912,              0.0008912
                     31,                0.92832,                 1.8725,                0.88027,                 1.2446,                0.86978,                0.73448,                 0.8259,                0.61063,                0.87187,                0.71839,                0.79567,                0.53632,                0.87877,                 2.2934,                0.91774,                 1.1458,              0.0008516,              0.0008516,              0.0008516
                     32,                0.91478,                 1.8664,                0.86274,                 1.2413,                0.88303,                0.75491,                0.83437,                0.61663,                0.86679,                0.73295,                0.80058,                0.52985,                0.86375,                 2.2711,                0.88386,                 1.1371,               0.000812,               0.000812,               0.000812
                     33,                0.93493,                 1.8789,                0.88567,                 1.2469,                0.88408,                0.75287,                0.83212,                0.61276,                0.85977,                0.73793,                0.79161,                0.51845,                0.85744,                 2.3147,                0.86036,                 1.1486,              0.0007724,              0.0007724,              0.0007724
                     34,                0.92123,                 1.8515,                0.85361,                 1.2357,                0.89729,                0.75632,                0.83271,                0.62658,                 0.8735,                0.74598,                0.79607,                0.52748,                0.84206,                 2.2588,                0.86078,                 1.1254,              0.0007328,              0.0007328,              0.0007328
                     35,                0.91049,                 1.8262,                0.84606,                  1.228,                0.85391,                0.76594,                0.82752,                0.61466,                0.85772,                0.74368,                0.79805,                0.53385,                0.86505,                 2.2646,                0.88313,                 1.1414,              0.0006932,              0.0006932,              0.0006932
                     36,                0.90508,                 1.8107,                0.84858,                  1.231,                0.88239,                0.77586,                0.83826,                0.62743,                0.86945,                0.75057,                0.80786,                0.53928,                0.84038,                 2.2286,                0.84509,                 1.1259,              0.0006536,              0.0006536,              0.0006536
                     37,                0.89096,                 1.8378,                0.84223,                 1.2233,                0.90421,                0.76092,                0.83166,                0.63311,                0.87553,                0.73678,                0.79166,                0.53816,                0.81876,                 2.2208,                0.85473,                 1.1088,               0.000614,               0.000614,               0.000614
